insee_code,commune_name,latitude,longitude
02231,Couvron-et-Aumencourt,49.6464,3.515
02232,Coyolles,49.216,3.021
02233,Cramaille,49.2269,3.4555
02234,Craonne,49.4491,3.7947
02235,Craonnelle,49.4251,3.7755
02236,Crécy-au-Mont,49.4846,3.3141
02237,Crécy-sur-Serre,49.693,3.6188
02238,Crépy,49.6089,3.5088
02239,Crézancy,49.0405,3.5169
02240,Croix-Fonsomme,49.9329,3.3937
02241,La Croix-sur-Ourcq,49.1589,3.3502
02242,Crouttes-sur-Marne,48.9775,3.247
02243,Crouy,49.4073,3.3684
02244,Crupilly,49.9299,3.7555
02245,Cuffies,49.4086,3.3197
02246,Cugny,49.7097,3.1518
02248,Cuirieux,49.6835,3.8206
02249,Cuiry-Housse,49.2886,3.4903
02250,Cuiry-lès-Chaudardes,49.3919,3.7621
02251,Cuiry-lès-Iviers,49.7661,4.1045
02252,Cuissy-et-Geny,49.4013,3.7056
02253,Cuisy-en-Almont,49.422,3.2452
02254,Cutry,49.345,3.1907
02255,Cys-la-Commune,49.3838,3.5717
02256,Dagny-Lambercy,49.7685,4.0437
02257,Dallon,49.8249,3.2327
02258,Dammard,49.146,3.1723
02259,Dampleux,49.2408,3.1471
02260,Danizy,49.6658,3.4037
02261,Dercy,49.7127,3.6847
02262,Deuillet,49.6271,3.3571
02263,Dhuizel,49.3591,3.6148
02264,Dizy-le-Gros,49.6351,4.0171
02265,Dohis,49.766,4.1421
02266,Dolignon,49.7295,4.0873
02267,Dommiers,49.3314,3.2165
02268,Domptin,49.0151,3.2705
02269,Dorengt,49.9656,3.7014
02270,Douchy,49.7959,3.1296
02271,Dravegny,49.2425,3.6395
02272,Droizy,49.2746,3.3864
02273,Dury,49.7516,3.1322
02274,Ébouleau,49.6783,3.8871
02275,Effry,49.9191,3.9879
02276,Englancourt,49.9251,3.8081
02277,Épagny,49.4729,3.2565
