code_insee,commune,cout_moyen_secheresse
01437,Vescours,Pas de sinistre répertorié à CCR
01439,Vésines,Pas de sinistre répertorié à CCR
01441,Vieu-d'Izenave,Pas de sinistre répertorié à CCR
01443,Villars-les-Dombes,Pas de sinistre répertorié à CCR
01444,Villebois,Pas de sinistre répertorié à CCR
01445,Villemotier,Entre 10 et 20k€
01446,Villeneuve,Entre 5 et 10 k€
01447,Villereversure,Entre 10 et 20k€
01448,Villes,Pas de sinistre répertorié à CCR
01449,Villette-sur-Ain,Entre 5 et 10 k€
01450,Villieu-Loyes-Mollon,Entre 5 et 10 k€
01451,Viriat,Entre 5 et 10 k€
01452,Virieu-le-Grand,Pas de sinistre répertorié à CCR
01453,Arvière-en-Valromey,Entre 5 et 10 k€
01454,Virignin,Pas de sinistre répertorié à CCR
01456,Vongnes,Pas de sinistre répertorié à CCR
01457,Vonnas,Entre 10 et 20k€
02001,Abbécourt,Pas de sinistre répertorié à CCR
02002,Achery,Pas de sinistre répertorié à CCR
02003,Acy,"Entre 0 et 2,5 k€"
02004,Agnicourt-et-Séchelles,Pas de sinistre répertorié à CCR
02005,Aguilcourt,Pas de sinistre répertorié à CCR
02006,Aisonville-et-Bernoville,Pas de sinistre répertorié à CCR
02007,Aizelles,Pas de sinistre répertorié à CCR
02008,Aizy-Jouy,Pas de sinistre répertorié à CCR
02009,Alaincourt,Pas de sinistre répertorié à CCR
02010,Allemant,Pas de sinistre répertorié à CCR
02011,Ambleny,Pas de sinistre répertorié à CCR
02012,Ambrief,Pas de sinistre répertorié à CCR
02013,Amifontaine,Pas de sinistre répertorié à CCR
02014,Amigny-Rouy,"Entre 0 et 2,5 k€"
02015,Ancienville,Pas de sinistre répertorié à CCR
02016,Andelain,Pas de sinistre répertorié à CCR
02017,Anguilcourt-le-Sart,Pas de sinistre répertorié à CCR
02018,Anizy-le-Grand,Pas de sinistre répertorié à CCR
02019,Annois,Pas de sinistre répertorié à CCR
02020,Any-Martin-Rieux,"Entre 0 et 2,5 k€"
02021,Archon,Pas de sinistre répertorié à CCR
02022,Arcy-Sainte-Restitue,Pas de sinistre répertorié à CCR
02023,Armentières-sur-Ourcq,Pas de sinistre répertorié à CCR
02024,Arrancy,Pas de sinistre répertorié à CCR
02025,Artemps,Pas de sinistre répertorié à CCR
02027,Assis-sur-Serre,Pas de sinistre répertorié à CCR
02028,Athies-sous-Laon,Pas de sinistre répertorié à CCR
02029,Attilly,Pas de sinistre répertorié à CCR
02030,Aubencheul-aux-Bois,Pas de sinistre répertorié à CCR
02031,Aubenton,Pas de sinistre répertorié à CCR
02032,Aubigny-aux-Kaisnes,Pas de sinistre répertorié à CCR
02033,Aubigny-en-Laonnois,Pas de sinistre répertorié à CCR
02034,Audignicourt,Pas de sinistre répertorié à CCR
02035,Audigny,Pas de sinistre répertorié à CCR
02036,Augy,Pas de sinistre répertorié à CCR
02037,Aulnois-sous-Laon,Pas de sinistre répertorié à CCR
02038,Les Autels,Pas de sinistre répertorié à CCR
02039,Autremencourt,Pas de sinistre répertorié à CCR
02040,Autreppes,Pas de sinistre répertorié à CCR
02041,Autreville,Pas de sinistre répertorié à CCR
02042,Azy-sur-Marne,Pas de sinistre répertorié à CCR
02043,Bagneux,Pas de sinistre répertorié à CCR
02044,Bancigny,Pas de sinistre répertorié à CCR
02046,Barenton-Bugny,Pas de sinistre répertorié à CCR
02047,Barenton-Cel,Pas de sinistre répertorié à CCR
02048,Barenton-sur-Serre,Pas de sinistre répertorié à CCR
02049,Barisis-aux-Bois,Pas de sinistre répertorié à CCR
02050,Barzy-en-Thiérache,Plus de 20 k€
02051,Barzy-sur-Marne,Pas de sinistre répertorié à CCR
02052,Bassoles-Aulers,Pas de sinistre répertorié à CCR
02053,Vallées en Champagne,Pas de sinistre répertorié à CCR
02054,Bazoches-sur-Vesles,Pas de sinistre répertorié à CCR
02055,Beaumé,Pas de sinistre répertorié à CCR
02056,Beaumont-en-Beine,Pas de sinistre répertorié à CCR
02057,Beaurevoir,Pas de sinistre répertorié à CCR
02058,Beaurieux,Pas de sinistre répertorié à CCR
02059,Beautor,Entre 10 et 20k€
02060,Beauvois-en-Vermandois,Pas de sinistre répertorié à CCR
02061,Becquigny,Pas de sinistre répertorié à CCR
02062,Belleau,"Entre 0 et 2,5 k€"
02063,Bellenglise,Pas de sinistre répertorié à CCR
02064,Belleu,Plus de 20 k€
02065,Bellicourt,Pas de sinistre répertorié à CCR
02066,Benay,Pas de sinistre répertorié à CCR
02067,Bergues-sur-Sambre,Pas de sinistre répertorié à CCR
02068,Berlancourt,Pas de sinistre répertorié à CCR
02069,Berlise,Pas de sinistre répertorié à CCR
02070,Bernot,Pas de sinistre répertorié à CCR
02071,Berny-Rivière,Pas de sinistre répertorié à CCR
02072,Berrieux,Pas de sinistre répertorié à CCR
02073,Berry-au-Bac,Pas de sinistre répertorié à CCR
02074,Bertaucourt-Epourdon,Pas de sinistre répertorié à CCR
02075,Berthenicourt,Pas de sinistre répertorié à CCR
02076,Bertricourt,Pas de sinistre répertorié à CCR
02077,Berzy-le-Sec,Pas de sinistre répertorié à CCR
02078,Besmé,Pas de sinistre répertorié à CCR
02079,Besmont,Pas de sinistre répertorié à CCR
02080,Besny-et-Loizy,Pas de sinistre répertorié à CCR
02081,Béthancourt-en-Vaux,Pas de sinistre répertorié à CCR
02082,Beugneux,Pas de sinistre répertorié à CCR
02083,Beuvardes,Pas de sinistre répertorié à CCR
02084,Bézu-le-Guéry,Pas de sinistre répertorié à CCR
02085,Bézu-Saint-Germain,Pas de sinistre répertorié à CCR
02086,Bichancourt,Pas de sinistre répertorié à CCR
02087,Bieuxy,Pas de sinistre répertorié à CCR
02088,Bièvres,Pas de sinistre répertorié à CCR
02089,Billy-sur-Aisne,Pas de sinistre répertorié à CCR
02090,Billy-sur-Ourcq,Pas de sinistre répertorié à CCR
02091,Blanzy-lès-Fismes,Pas de sinistre répertorié à CCR
02093,Blérancourt,Pas de sinistre répertorié à CCR
02094,Blesmes,Pas de sinistre répertorié à CCR
02095,Bohain-en-Vermandois,Entre 10 et 20k€
02096,Bois-lès-Pargny,Pas de sinistre répertorié à CCR
02097,Boncourt,Pas de sinistre répertorié à CCR
02098,Bonneil,Plus de 20 k€
02099,Bonnesvalyn,Pas de sinistre répertorié à CCR
02100,Bony,Pas de sinistre répertorié à CCR
02101,Bosmont-sur-Serre,Pas de sinistre répertorié à CCR
02102,Bouconville-Vauclair,Pas de sinistre répertorié à CCR
02103,Boué,Pas de sinistre répertorié à CCR
02104,Bouffignereux,Pas de sinistre répertorié à CCR
02105,Bouresches,Pas de sinistre répertorié à CCR
02106,Bourg-et-Comin,Pas de sinistre répertorié à CCR
02107,Bourguignon-sous-Coucy,Pas de sinistre répertorié à CCR
02108,Bourguignon-sous-Montbavin,Pas de sinistre répertorié à CCR
02109,La Bouteille,Pas de sinistre répertorié à CCR
02110,Braine,Pas de sinistre répertorié à CCR
02111,Brancourt-en-Laonnois,Pas de sinistre répertorié à CCR
02112,Brancourt-le-Grand,Pas de sinistre répertorié à CCR
02114,Brasles,Pas de sinistre répertorié à CCR
02115,Braye-en-Laonnois,Pas de sinistre répertorié à CCR
02116,Braye-en-Thiérache,Pas de sinistre répertorié à CCR
02117,Bray-Saint-Christophe,Pas de sinistre répertorié à CCR
